issn,分类,总被引频次,影响因子,分区
0288-3635,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",282,0.722,4
1751-8601,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",269,0.639,4
0218-1266,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",805,0.595,4
0929-5585,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",138,0.516,4
1745-1337,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1602,0.337,4
1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",12217,20.23,1
1536-1284,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6702,9.202,1
2168-7161,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1066,7.928,1
0890-8044,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3372,7.197,1
2327-4662,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2205,5.863,1
0276-7783,"COMPUTER SCIENCE, INFORMATION SYSTEMS",15184,5.43,1
0268-3962,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1170,4.535,1
1939-1374,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1636,4.418,2
1545-5971,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1692,4.41,2
1932-8184,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3113,4.337,2
0963-8687,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1464,4.313,2
0020-0255,"COMPUTER SCIENCE, INFORMATION SYSTEMS",25329,4.305,2
1067-5027,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8713,4.27,2
1536-1233,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7641,4.098,2
1520-9210,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6203,3.977,2
1758-2946,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2117,3.893,2
0378-7206,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6406,3.89,2
2168-2194,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2922,3.85,2
1066-2243,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2062,3.838,2
1549-9596,"COMPUTER SCIENCE, INFORMATION SYSTEMS",14365,3.804,2
2168-6750,"COMPUTER SCIENCE, INFORMATION SYSTEMS",721,3.626,2
0146-4833,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6892,3.577,2
0167-9236,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8810,3.565,2
2169-3536,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6291,3.557,2
0306-4573,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3250,3.444,2
1932-4537,"COMPUTER SCIENCE, INFORMATION SYSTEMS",849,3.286,2
1387-3326,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1470,3.232,2
0960-085X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2597,3.197,2
