issn,分类,总被引频次,影响因子,分区
0018-8646,"COMPUTER SCIENCE, THEORY & METHODS",3100,0.962,4
0167-8191,"COMPUTER SCIENCE, THEORY & METHODS",1607,0.938,4
0954-0091,"COMPUTER SCIENCE, THEORY & METHODS",326,0.933,4
0926-8782,"COMPUTER SCIENCE, THEORY & METHODS",320,0.925,4
0097-5397,"COMPUTER SCIENCE, THEORY & METHODS",5365,0.902,4
1064-5462,"COMPUTER SCIENCE, THEORY & METHODS",721,0.897,4
0885-7458,"COMPUTER SCIENCE, THEORY & METHODS",406,0.897,4
1751-8709,"COMPUTER SCIENCE, THEORY & METHODS",427,0.89,4
1471-0684,"COMPUTER SCIENCE, THEORY & METHODS",403,0.875,4
1567-7818,"COMPUTER SCIENCE, THEORY & METHODS",743,0.86,4
0267-6192,"COMPUTER SCIENCE, THEORY & METHODS",168,0.855,4
0178-2770,"COMPUTER SCIENCE, THEORY & METHODS",575,0.84,4
0925-9856,"COMPUTER SCIENCE, THEORY & METHODS",407,0.825,4
0010-4620,"COMPUTER SCIENCE, THEORY & METHODS",3378,0.792,4
1570-5838,"COMPUTER SCIENCE, THEORY & METHODS",165,0.774,4
0304-3975,"COMPUTER SCIENCE, THEORY & METHODS",7694,0.772,4
0747-7171,"COMPUTER SCIENCE, THEORY & METHODS",1897,0.755,4
0955-792X,"COMPUTER SCIENCE, THEORY & METHODS",732,0.74,4
0219-7499,"COMPUTER SCIENCE, THEORY & METHODS",922,0.738,4
1529-3785,"COMPUTER SCIENCE, THEORY & METHODS",421,0.731,4
0288-3635,"COMPUTER SCIENCE, THEORY & METHODS",282,0.722,4
0963-5483,"COMPUTER SCIENCE, THEORY & METHODS",922,0.705,4
0179-5376,"COMPUTER SCIENCE, THEORY & METHODS",1839,0.672,4
1383-7133,"COMPUTER SCIENCE, THEORY & METHODS",262,0.66,4
1549-6325,"COMPUTER SCIENCE, THEORY & METHODS",591,0.652,4
0127-9084,"COMPUTER SCIENCE, THEORY & METHODS",102,0.65,4
1751-8601,"COMPUTER SCIENCE, THEORY & METHODS",269,0.639,4
2352-2208,"COMPUTER SCIENCE, THEORY & METHODS",93,0.634,4
1058-6180,"COMPUTER SCIENCE, THEORY & METHODS",283,0.619,4
1930-5346,"COMPUTER SCIENCE, THEORY & METHODS",196,0.564,4
1064-2307,"COMPUTER SCIENCE, THEORY & METHODS",460,0.554,4
1557-5969,"COMPUTER SCIENCE, THEORY & METHODS",93,0.511,4
1860-5974,"COMPUTER SCIENCE, THEORY & METHODS",482,0.508,4
1016-3328,"COMPUTER SCIENCE, THEORY & METHODS",460,0.487,4
0938-1279,"COMPUTER SCIENCE, THEORY & METHODS",331,0.464,4
1432-4350,"COMPUTER SCIENCE, THEORY & METHODS",594,0.458,4
1542-3980,"COMPUTER SCIENCE, THEORY & METHODS",380,0.437,4
0032-9460,"COMPUTER SCIENCE, THEORY & METHODS",579,0.359,4
0129-0541,"COMPUTER SCIENCE, THEORY & METHODS",506,0.353,4
0161-1194,"COMPUTER SCIENCE, THEORY & METHODS",172,0.326,4
1540-9589,"COMPUTER SCIENCE, THEORY & METHODS",95,0.311,4
1453-8245,"COMPUTER SCIENCE, THEORY & METHODS",136,0.288,4
